Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 28",TBR,Home,TOR,L,2.0,8.0,9.0,0-1,5.0,1.0,Berríos,Eflin,None,2:33,D,25025.0,.99,-1.0,
"Friday, Mar 29",TBR,Home,TOR,W,8.0,2.0,9.0,1-1,3.0,1.0,Civale,Bassitt,None,2:28,N,18653.0,.96,1.0,
"Saturday, Mar 30",TBR,Home,TOR,W,5.0,1.0,9.0,2-1,3.0,1.0,Littell,Kikuchi,None,2:44,D,18905.0,.95,2.0,
"Sunday, Mar 31",TBR,Home,TOR,L,2.0,9.0,9.0,2-2,3.0,2.0,White,Armstrong,None,2:47,D,14875.0,1.02,-1.0,
"Monday, Apr 1",TBR,Home,TEX,L,3.0,9.0,9.0,2-3,4.0,3.0,Dunning,Pepiot,None,2:34,N,14144.0,.91,-2.0,
"Tuesday, Apr 2",TBR,Home,TEX,W,5.0,2.0,9.0,3-3,4.0,2.0,Eflin,Heaney,None,2:23,N,11697.0,.84,1.0,
"Wednesday, Apr 3",TBR,Home,TEX,L,1.0,4.0,9.0,3-4,4.0,3.0,Eovaldi,Civale,None,2:26,D,18881.0,.90,-1.0,
"Friday, Apr 5",TBR,@,COL,L-wo,7.0,10.0,9.0,3-5,5.0,3.0,Beeks,Fairbanks,None,3:10,D,48399.0,.83,-2.0,
"Saturday, Apr 6",TBR,@,COL,W,8.0,6.0,9.0,4-5,4.0,3.0,Cleavinger,Beeks,Poche,3:03,N,29238.0,.75,1.0,
"Sunday, Apr 7",TBR,@,COL,W,3.0,2.0,9.0,5-5,4.0,3.0,Pepiot,Hudson,Armstrong,2:43,D,25566.0,.81,2.0,
"Monday, Apr 8",TBR,@,LAA,L,1.0,7.0,9.0,5-6,4.0,4.0,Anderson,Eflin,None,2:14,N,18748.0,.92,-1.0,
"Tuesday, Apr 9",TBR,@,LAA,W,6.0,4.0,9.0,6-6,4.0,4.0,Civale,Sandoval,Fairbanks,2:46,N,20271.0,.85,1.0,
"Wednesday, Apr 10",TBR,@,LAA,W,4.0,2.0,9.0,7-6,4.0,3.0,Kelly,Soriano,Fairbanks,2:32,D,16600.0,.93,2.0,
"Friday, Apr 12",TBR,Home,SFG,W,2.0,1.0,9.0,8-6,3.0,2.5,Cleavinger,Winn,Fairbanks,2:32,N,15146.0,.89,3.0,
"Saturday, Apr 13",TBR,Home,SFG,L,2.0,11.0,9.0,8-7,3.0,4.0,Webb,Pepiot,None,2:27,D,17411.0,.93,-1.0,
"Sunday, Apr 14",TBR,Home,SFG,W,9.0,4.0,9.0,9-7,3.0,3.0,Alexander,Snell,None,2:20,D,19470.0,.87,1.0,
"Monday, Apr 15",TBR,Home,LAA,L,3.0,7.0,9.0,9-8,3.0,3.0,García,Maton,None,2:34,N,12267.0,.96,-1.0,
"Tuesday, Apr 16",TBR,Home,LAA,W-wo,7.0,6.0,13.0,10-8,3.0,2.0,Cleavinger,Fulmer,None,3:29,N,12160.0,.95,1.0,
"Wednesday, Apr 17",TBR,Home,LAA,L,4.0,5.0,9.0,10-9,3.0,3.0,Strickland,Fairbanks,None,2:42,N,10844.0,.99,-1.0,
"Thursday, Apr 18",TBR,Home,LAA,W,2.0,1.0,9.0,11-9,3.0,2.5,Pepiot,Canning,Poche,2:15,D,10648.0,.95,1.0,
"Friday, Apr 19",TBR,@,NYY,L,3.0,5.0,9.0,11-10,4.0,3.5,Santana,Devenski,Holmes,2:40,N,36055.0,1.08,-1.0,
"Saturday, Apr 20",TBR,@,NYY,W,2.0,0.0,10.0,12-10,4.0,2.5,Adam,Ferguson,Cleavinger,2:25,D,47629.0,1.01,1.0,
"Sunday, Apr 21",TBR,@,NYY,L,4.0,5.0,9.0,12-11,5.0,3.5,Gil,Civale,González,2:42,D,40022.0,1.04,-1.0,
"Monday, Apr 22",TBR,Home,DET,L,1.0,7.0,9.0,12-12,5.0,4.0,Skubal,Littell,None,2:16,N,13522.0,.91,-2.0,
"Tuesday, Apr 23",TBR,Home,DET,L,2.0,4.0,9.0,12-13,5.0,4.5,Faedo,Poche,Foley,2:20,N,13648.0,.88,-3.0,
"Wednesday, Apr 24",TBR,Home,DET,W,7.0,5.0,9.0,13-13,5.0,4.5,Devenski,Vest,Cleavinger,2:32,N,13754.0,.83,1.0,
"Friday, Apr 26",TBR,@,CHW,L,4.0,9.0,9.0,13-14,4.0,4.0,Flexen,Eflin,None,2:41,N,10323.0,.85,-1.0,
"Saturday, Apr 27",TBR,@,CHW,L-wo,7.0,8.0,10.0,13-15,4.0,5.0,García,Maton,None,2:59,N,28009.0,.82,-2.0,
"Sunday, Apr 28",TBR,@,CHW,L,2.0,4.0,9.0,13-16,5.0,6.0,Fedde,Littell,Leasure,2:06,D,12669.0,.74,-3.0,
"Monday, Apr 29",TBR,@,MIL,W,1.0,0.0,9.0,14-16,5.0,5.0,Pepiot,Wilson,Adam,2:31,N,20395.0,.71,1.0,
"Tuesday, Apr 30",TBR,@,MIL,L,2.0,8.0,9.0,14-17,5.0,6.0,Peralta,Alexander,None,2:47,N,21124.0,.76,-1.0,
"Wednesday, May 1",TBR,@,MIL,L,1.0,7.0,9.0,14-18,5.0,6.0,Rea,Eflin,None,2:31,D,20132.0,.69,-2.0,
"Friday, May 3",TBR,Home,NYM,W,10.0,8.0,9.0,15-18,4.0,6.5,Armstrong,Quintana,Adam,2:46,N,19077.0,.64,1.0,
"Saturday, May 4",TBR,Home,NYM,W,3.0,1.0,9.0,16-18,4.0,6.5,Adam,Ottavino,Maton,2:51,N,18968.0,.69,2.0,
"Sunday, May 5",TBR,Home,NYM,W-wo,7.0,6.0,10.0,17-18,4.0,6.5,Ramírez,Diekman,None,3:28,D,19310.0,.73,3.0,
"Monday, May 6",TBR,Home,CHW,W,8.0,2.0,9.0,18-18,4.0,6.0,Ramírez,Clevinger,None,2:33,N,12042.0,.73,4.0,
"Tuesday, May 7",TBR,Home,CHW,W,5.0,1.0,9.0,19-18,4.0,5.0,Eflin,Soroka,None,2:18,N,10872.0,.77,5.0,
"Wednesday, May 8",TBR,Home,CHW,L,1.0,4.0,9.0,19-19,4.0,6.0,Flexen,Civale,Kopech,2:32,N,12877.0,.80,-1.0,
"Friday, May 10",TBR,Home,NYY,L,0.0,2.0,9.0,19-20,4.0,7.0,Schmidt,Bradley,Holmes,2:39,N,18041.0,.85,-2.0,
"Saturday, May 11",TBR,Home,NYY,W,7.0,2.0,9.0,20-20,4.0,7.0,Littell,Cortés,None,2:27,D,21308.0,.80,1.0,
"Sunday, May 12",TBR,Home,NYY,L,6.0,10.0,9.0,20-21,4.0,7.0,Gil,Alexander,None,2:56,D,20694.0,.87,-1.0,
"Monday, May 13",TBR,@,BOS,W,5.0,3.0,9.0,21-21,4.0,6.0,Eflin,Crawford,Adam,2:36,N,28663.0,.78,1.0,
"Tuesday, May 14",TBR,@,BOS,L-wo,4.0,5.0,12.0,21-22,4.0,7.0,Bernardino,Rodríguez,None,3:12,N,32893.0,.85,-1.0,
"Wednesday, May 15",TBR,@,BOS,W,4.0,3.0,9.0,22-22,4.0,7.0,Bradley,Houck,Kelly,2:29,N,30016.0,.82,1.0,
"Thursday, May 16",TBR,@,BOS,W,7.0,5.0,9.0,23-22,3.0,7.0,Rodríguez,Jansen,Ramírez,3:12,N,31704.0,.84,2.0,
"Friday, May 17",TBR,@,TOR,W,4.0,3.0,9.0,24-22,3.0,7.0,Alexander,Bassitt,Fairbanks,2:40,N,32640.0,.87,3.0,
"Saturday, May 18",TBR,@,TOR,W,5.0,4.0,9.0,25-22,3.0,7.0,Ramírez,Pearson,Cleavinger,2:42,D,34416.0,.87,4.0,
"Sunday, May 19",TBR,@,TOR,L,2.0,5.0,9.0,25-23,3.0,8.0,Manoah,Civale,Romano,2:27,D,35840.0,.91,-1.0,
"Monday, May 20",TBR,Home,BOS,L,0.0,5.0,9.0,25-24,3.0,8.0,Houck,Bradley,None,2:08,N,13489.0,.92,-2.0,
"Tuesday, May 21",TBR,Home,BOS,L,2.0,5.0,9.0,25-25,4.0,8.0,Weissert,Adam,Jansen,2:19,N,12274.0,.90,-3.0,
"Wednesday, May 22",TBR,Home,BOS,L,5.0,8.0,9.0,25-26,4.0,9.0,Bello,Lovelady,None,2:40,N,13095.0,.83,-4.0,
"Friday, May 24",TBR,Home,KCR,L,1.0,8.0,9.0,25-27,4.0,10.5,Lugo,Alexander,None,2:25,N,16368.0,.70,-5.0,
"Saturday, May 25",TBR,Home,KCR,L,4.0,7.0,11.0,25-28,4.0,11.5,McArthur,Lovelady,Anderson,3:17,D,20309.0,.65,-6.0,
"Sunday, May 26",TBR,Home,KCR,W,4.0,1.0,9.0,26-28,4.0,10.5,Cleavinger,Wacha,Fairbanks,2:30,D,20789.0,.57,1.0,
"Tuesday, May 28",TBR,Home,OAK,L,0.0,3.0,9.0,26-29,4.0,10.5,Spence,Littell,Miller,2:31,N,13889.0,.56,-1.0,
"Wednesday, May 29",TBR,Home,OAK,W-wo,4.0,3.0,9.0,27-29,4.0,10.5,Fairbanks,Kelly,None,2:55,N,13167.0,.51,1.0,
"Thursday, May 30",TBR,Home,OAK,W-wo,6.0,5.0,12.0,28-29,3.0,10.5,Lovelady,Ferguson,None,3:12,D,15264.0,.57,2.0,
"Friday, May 31",TBR,@,BAL,L,1.0,3.0,9.0,28-30,4.0,11.5,Pérez,Lovelady,Kimbrel,2:55,N,27364.0,.68,-1.0,
"Saturday, Jun 1",TBR,@,BAL,L,5.0,9.0,9.0,28-31,4.0,12.5,Webb,Bradley,None,2:47,D,36958.0,.58,-2.0,
"Sunday, Jun 2",TBR,@,BAL,W,4.0,3.0,9.0,29-31,4.0,12.5,Armstrong,Tate,Fairbanks,2:44,D,32463.0,.50,1.0,
"Tuesday, Jun 4",TBR,@,MIA,W,9.0,5.0,9.0,30-31,3.0,12.5,Pepiot,Luzardo,Fairbanks,2:48,N,9234.0,.48,2.0,
"Wednesday, Jun 5",TBR,@,MIA,W,5.0,3.0,9.0,31-31,3.0,12.5,Lovelady,Garrett,Fairbanks,2:20,N,8778.0,.54,3.0,
"Friday, Jun 7",TBR,Home,BAL,L,3.0,6.0,9.0,31-32,4.0,13.0,Irvin,Civale,Kimbrel,2:35,N,17882.0,.65,-1.0,
"Saturday, Jun 8",TBR,Home,BAL,L,0.0,5.0,9.0,31-33,4.0,13.0,Bradish,Bradley,None,2:48,D,20485.0,.58,-2.0,
"Sunday, Jun 9",TBR,Home,BAL,L,2.0,9.0,9.0,31-34,5.0,14.0,Rodriguez,Littell,None,2:54,D,20386.0,.54,-3.0,
"Monday, Jun 10",TBR,Home,BAL,L,2.0,5.0,9.0,31-35,5.0,15.0,Burnes,Pepiot,Kimbrel,2:28,N,14686.0,.46,-4.0,
"Tuesday, Jun 11",TBR,Home,CHC,W-wo,5.0,2.0,9.0,32-35,5.0,15.0,Devenski,Neris,None,2:38,N,15192.0,.36,1.0,
"Wednesday, Jun 12",TBR,Home,CHC,L,3.0,4.0,9.0,32-36,5.0,16.0,Miller,Cleavinger,Neris,2:41,N,16927.0,.43,-1.0,
"Thursday, Jun 13",TBR,Home,CHC,W,3.0,2.0,9.0,33-36,5.0,15.0,Bradley,Leiter,Fairbanks,2:17,N,19679.0,.37,1.0,
"Friday, Jun 14",TBR,@,ATL,L,3.0,7.0,9.0,33-37,5.0,16.0,Sale,Littell,Iglesias,2:36,N,41046.0,.41,-1.0,
"Saturday, Jun 15",TBR,@,ATL,L,2.0,9.0,9.0,33-38,5.0,16.0,Morton,Pepiot,None,2:38,D,40480.0,.39,-2.0,
"Sunday, Jun 16",TBR,@,ATL,W,8.0,6.0,9.0,34-38,5.0,15.0,Adam,Iglesias,Fairbanks,2:32,D,40211.0,.31,1.0,
"Tuesday, Jun 18",TBR,@,MIN,L-wo,6.0,7.0,9.0,34-39,5.0,16.0,Durán,Fairbanks,None,2:45,N,17342.0,.41,-1.0,
"Wednesday, Jun 19",TBR,@,MIN,W,3.0,2.0,10.0,35-39,4.0,15.0,Adam,Alcalá,Maton,3:12,N,20712.0,.37,1.0,
"Thursday, Jun 20",TBR,@,MIN,W,7.0,6.0,10.0,36-39,4.0,14.0,Fairbanks,Jax,None,3:16,D,24863.0,.43,2.0,
"Friday, Jun 21",TBR,@,PIT,W,10.0,3.0,9.0,37-39,4.0,13.0,Poche,Mlodzinski,None,2:45,N,26600.0,.40,3.0,
"Saturday, Jun 22",TBR,@,PIT,L,3.0,4.0,9.0,37-40,4.0,14.0,Jones,Eflin,Chapman,2:07,D,33040.0,.49,-1.0,
"Sunday, Jun 23",TBR,@,PIT,W,3.0,1.0,9.0,38-40,4.0,13.0,Kelly,Holderman,Fairbanks,2:22,D,29026.0,.42,1.0,
"Monday, Jun 24",TBR,Home,SEA,W,4.0,3.0,9.0,39-40,4.0,12.5,Maton,Voth,Fairbanks,3:00,N,14482.0,.47,2.0,
"Tuesday, Jun 25",TBR,Home,SEA,W,11.0,3.0,9.0,40-40,4.0,11.5,Cleavinger,Castillo,None,2:42,N,14034.0,.53,3.0,
"Wednesday, Jun 26",TBR,Home,SEA,L,2.0,5.0,9.0,40-41,4.0,11.5,Kirby,Armstrong,Thornton,2:50,D,18286.0,.61,-1.0,
"Friday, Jun 28",TBR,Home,WSN,W,3.0,1.0,9.0,41-41,4.0,11.0,Eflin,Parker,Fairbanks,2:33,N,14959.0,.51,1.0,
"Saturday, Jun 29",TBR,Home,WSN,L,1.0,8.0,9.0,41-42,4.0,12.0,Irvin,Civale,None,2:34,D,17501.0,.55,-1.0,
"Sunday, Jun 30",TBR,Home,WSN,W,5.0,0.0,9.0,42-42,4.0,11.0,Bradley,Corbin,None,2:20,D,18259.0,.57,1.0,
"Tuesday, Jul 2",TBR,@,KCR,W,5.0,1.0,9.0,43-42,4.0,11.0,Littell,Singer,None,2:27,N,16865.0,.59,2.0,
"Wednesday, Jul 3",TBR,@,KCR,L,2.0,4.0,9.0,43-43,4.0,12.0,Wacha,Pepiot,McArthur,2:43,N,23268.0,.68,-1.0,
"Thursday, Jul 4",TBR,@,KCR,W,10.0,8.0,9.0,44-43,4.0,11.0,Eflin,Marsh,Fairbanks,3:25,N,28358.0,.62,1.0,
"Friday, Jul 5",TBR,@,TEX,L,0.0,3.0,9.0,44-44,4.0,12.0,Lorenzen,Baz,Yates,2:40,N,32175.0,.61,-1.0,
"Saturday, Jul 6",TBR,@,TEX,L,3.0,4.0,9.0,44-45,4.0,12.0,Hernández,Kelly,Yates,2:20,D,31560.0,.56,-2.0,
"Sunday, Jul 7",TBR,@,TEX,L,2.0,13.0,9.0,44-46,4.0,13.0,Eovaldi,Littell,None,2:27,D,32113.0,.51,-3.0,
"Tuesday, Jul 9",TBR,Home,NYY,W,5.0,3.0,9.0,45-46,4.0,12.0,Pepiot,Rodón,Fairbanks,2:34,N,20436.0,.44,1.0,
"Wednesday, Jul 10",TBR,Home,NYY,L,1.0,2.0,9.0,45-47,4.0,12.0,Hill,Eflin,Holmes,2:49,N,19246.0,.52,-1.0,
"Thursday, Jul 11",TBR,Home,NYY,W,5.0,4.0,9.0,46-47,4.0,11.0,Kelly,Cortés,Fairbanks,2:57,N,23438.0,.39,1.0,
"Friday, Jul 12",TBR,Home,CLE,W,2.0,0.0,9.0,47-47,4.0,10.0,Bradley,Carrasco,Adam,2:29,N,17290.0,.43,2.0,
"Saturday, Jul 13",TBR,Home,CLE,L,2.0,4.0,9.0,47-48,4.0,10.0,Sandlin,Cleavinger,Clase,2:32,D,19946.0,.50,-1.0,
"Sunday, Jul 14",TBR,Home,CLE,W,2.0,0.0,9.0,48-48,4.0,10.0,Pepiot,Lively,Fairbanks,2:12,D,21875.0,.43,1.0,
"Friday, Jul 19",TBR,@,NYY,,,,,,,,,,,,,,,,
"Saturday, Jul 20",TBR,@,NYY,,,,,,,,,,,,,,,,
"Sunday, Jul 21",TBR,@,NYY,,,,,,,,,,,,,,,,
"Monday, Jul 22",TBR,@,NYY,,,,,,,,,,,,,,,,
"Tuesday, Jul 23",TBR,@,TOR,,,,,,,,,,,,,,,,
"Wednesday, Jul 24",TBR,@,TOR,,,,,,,,,,,,,,,,
"Thursday, Jul 25",TBR,@,TOR,,,,,,,,,,,,,,,,
"Friday, Jul 26",TBR,Home,CIN,,,,,,,,,,,,,,,,
"Saturday, Jul 27",TBR,Home,CIN,,,,,,,,,,,,,,,,
"Sunday, Jul 28",TBR,Home,CIN,,,,,,,,,,,,,,,,
"Tuesday, Jul 30",TBR,Home,MIA,,,,,,,,,,,,,,,,
"Wednesday, Jul 31",TBR,Home,MIA,,,,,,,,,,,,,,,,
"Friday, Aug 2",TBR,@,HOU,,,,,,,,,,,,,,,,
"Saturday, Aug 3",TBR,@,HOU,,,,,,,,,,,,,,,,
"Sunday, Aug 4",TBR,@,HOU,,,,,,,,,,,,,,,,
"Tuesday, Aug 6",TBR,@,STL,,,,,,,,,,,,,,,,
"Wednesday, Aug 7",TBR,@,STL,,,,,,,,,,,,,,,,
"Thursday, Aug 8",TBR,@,STL,,,,,,,,,,,,,,,,
"Friday, Aug 9",TBR,Home,BAL,,,,,,,,,,,,,,,,
"Saturday, Aug 10",TBR,Home,BAL,,,,,,,,,,,,,,,,
"Sunday, Aug 11",TBR,Home,BAL,,,,,,,,,,,,,,,,
"Monday, Aug 12",TBR,Home,HOU,,,,,,,,,,,,,,,,
"Tuesday, Aug 13",TBR,Home,HOU,,,,,,,,,,,,,,,,
"Wednesday, Aug 14",TBR,Home,HOU,,,,,,,,,,,,,,,,
"Friday, Aug 16",TBR,Home,ARI,,,,,,,,,,,,,,,,
"Saturday, Aug 17",TBR,Home,ARI,,,,,,,,,,,,,,,,
"Sunday, Aug 18",TBR,Home,ARI,,,,,,,,,,,,,,,,
"Monday, Aug 19",TBR,@,OAK,,,,,,,,,,,,,,,,
"Tuesday, Aug 20",TBR,@,OAK,,,,,,,,,,,,,,,,
"Wednesday, Aug 21",TBR,@,OAK,,,,,,,,,,,,,,,,
"Thursday, Aug 22",TBR,@,OAK,,,,,,,,,,,,,,,,
"Friday, Aug 23",TBR,@,LAD,,,,,,,,,,,,,,,,
"Saturday, Aug 24",TBR,@,LAD,,,,,,,,,,,,,,,,
"Sunday, Aug 25",TBR,@,LAD,,,,,,,,,,,,,,,,
"Monday, Aug 26",TBR,@,SEA,,,,,,,,,,,,,,,,
"Tuesday, Aug 27",TBR,@,SEA,,,,,,,,,,,,,,,,
"Wednesday, Aug 28",TBR,@,SEA,,,,,,,,,,,,,,,,
"Friday, Aug 30",TBR,Home,SDP,,,,,,,,,,,,,,,,
"Saturday, Aug 31",TBR,Home,SDP,,,,,,,,,,,,,,,,
"Sunday, Sep 1",TBR,Home,SDP,,,,,,,,,,,,,,,,
"Monday, Sep 2",TBR,Home,MIN,,,,,,,,,,,,,,,,
"Tuesday, Sep 3",TBR,Home,MIN,,,,,,,,,,,,,,,,
"Wednesday, Sep 4",TBR,Home,MIN,,,,,,,,,,,,,,,,
"Thursday, Sep 5",TBR,Home,MIN,,,,,,,,,,,,,,,,
"Friday, Sep 6",TBR,@,BAL,,,,,,,,,,,,,,,,
"Saturday, Sep 7",TBR,@,BAL,,,,,,,,,,,,,,,,
"Sunday, Sep 8",TBR,@,BAL,,,,,,,,,,,,,,,,
"Monday, Sep 9",TBR,@,PHI,,,,,,,,,,,,,,,,
"Tuesday, Sep 10",TBR,@,PHI,,,,,,,,,,,,,,,,
"Wednesday, Sep 11",TBR,@,PHI,,,,,,,,,,,,,,,,
"Thursday, Sep 12",TBR,@,CLE,,,,,,,,,,,,,,,,
"Friday, Sep 13",TBR,@,CLE,,,,,,,,,,,,,,,,
"Saturday, Sep 14",TBR,@,CLE,,,,,,,,,,,,,,,,
"Sunday, Sep 15",TBR,@,CLE,,,,,,,,,,,,,,,,
"Tuesday, Sep 17",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Wednesday, Sep 18",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Thursday, Sep 19",TBR,Home,BOS,,,,,,,,,,,,,,,,
"Friday, Sep 20",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Saturday, Sep 21",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Sunday, Sep 22",TBR,Home,TOR,,,,,,,,,,,,,,,,
"Tuesday, Sep 24",TBR,@,DET,,,,,,,,,,,,,,,,
"Wednesday, Sep 25",TBR,@,DET,,,,,,,,,,,,,,,,
"Thursday, Sep 26",TBR,@,DET,,,,,,,,,,,,,,,,
"Friday, Sep 27",TBR,@,BOS,,,,,,,,,,,,,,,,
"Saturday, Sep 28",TBR,@,BOS,,,,,,,,,,,,,,,,
"Sunday, Sep 29",TBR,@,BOS,,,,,,,,,,,,,,,,
